Country Name,Country Code,Series Name,Series Code,1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
East Asia & Pacific,EAS,Land area (sq. km),AG.LND.TOTL.K2,24401900,24401790,24401790,24401790,24401790,24387350,24387660.2,24387175.2,24386716.7,24386619.5,24386588.8,24386734,24386825,24386730,24386790.5,24386932.7,24386969.9,24386956.9,24387004.3,24387020.3,24387020.4
East Asia & Pacific,EAS,Agricultural land (sq. km),AG.LND.AGRI.K2,12391303,12412244,12496118,12518837,12447586.9,12479612,12462682,12332004,12102779.4,12142304,12189465.6,12061811.5,11994754,11932369,11875018,11778849.4,11900623.3,11867356.3,11786471.7,11880116,11617906
East Asia & Pacific,EAS,Forest area (sq. km),AG.LND.FRST.K2,6267039.1,6264398.2,6261757.5,6259116.7,6256476,6253835.3,6273878.8,6293922.5,6313966.1,6334009.8,6354053.2,6357353.8,6360654.1,6363954.6,6367255.1,6370555.6,6379017.4,6387479.1,6395941,6404402.8,6412864.6
Europe & Central Asia,ECS,Land area (sq. km),AG.LND.TOTL.K2,27345838,27345507,27414846,27417320,27424102,27449142,27447710,27447013,27447536,27447585,27447511,27443227,27442936,27441499,27442318,27443736,27443604,27440287,27440616,27439366,27439368
Europe & Central Asia,ECS,Agricultural land (sq. km),AG.LND.AGRI.K2,8256088,8234976,8249209,8235230,8223747,8224309,8194691.5,8163209.5,8129057.6,8111581.1,8101275.1,8121206.4,8085558.1,8073537.6,8053582.5,8090634.2,8076133.2,8067502.8,8087840,8086918.1,8080046.4
Europe & Central Asia,ECS,Forest area (sq. km),AG.LND.FRST.K2,10242974.7,10251599.2,10260223.9,10268848.4,10277473.1,10286097.6,10290881.6,10295665.5,10300449.4,10305233.4,10310017.4,10329829.8,10349642.1,10369454.7,10389267,10409079.3,10414000.9,10418922.6,10423844.2,10428765.9,10433687.5
Latin America & Caribbean,LCN,Land area (sq. km),AG.LND.TOTL.K2,20071224.4,20071224.4,20071224.4,20042744.4,20042744.4,20042744.4,20042744.4,20041734.4,20041744.4,20041754.4,20041784.4,20041774.4,20041784.4,20041784.4,20041784.4,20041784.4,20042207.4,20041793.4,20039564.4,20039364.4,20039364.4
Latin America & Caribbean,LCN,Agricultural land (sq. km),AG.LND.AGRI.K2,7041787,7079271,7094367,7113787,7129110,7132006,7122790,7140027,7187004,7267329.3,7313855,7345029.1,7374154.9,7400715,7402950.7,7434813.7,7455650.2,7477386.6,7535044,7552857.7,7551360
Latin America & Caribbean,LCN,Forest area (sq. km),AG.LND.FRST.K2,10019772.9,9975259.2,9930745.5,9886231.7,9841718,9797204.3,9749619.2,9702034,9654449.1,9606863.9,9559278.9,9523659.4,9488039.8,9452420.5,9416800.9,9381181.5,9359417.2,9337652.9,9315888.6,9294124.3,9272360.1
Middle East & North Africa,MEA,Land area (sq. km),AG.LND.TOTL.K2,11238830,11238830,11238830,11238830,11238830,11238830,11238830,11238830,11238650,11238640,11238650,11238710,11238730,11238740,11236230,11236222,11236227,11236230,11236230,11236231,11236231
