Country Name,Country Code,Series Name,Series Code,1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Arab World,ARB,"Population, total",SP.POP.TOTL,115680165,119016542,122398374,125807419,129269375,132863416,136696761,140843298,145332378,150133054,155183724,160392488,165689490,171051950,176490084,182005827,187610756,193310301,199093767,204942549,210844771,216787402,224735446,230829868,235037179,241286091,247435930,255029671,260843462,266575075,272235146,277962869,283832016,289850357,296026575,302434519,309162029,316264728,323773264,331653797,339825483,348145094,356508908,364895878,373306993,381702086,390043028,398304960,406452690,414491886
Arab World,ARB,Rural population,SP.RUR.TOTL,72454903,73703104,74916014,76112810,77263535,78455046,79835396,81407598,83180504,85153422,87239187,89362180,91433113,93442906,95419889,97318389,99121314,100951702,102774744,104700839,106763453,108910928,111693681,113858778,115976698,118198368,120601450,123082641,125460027,127675587,129741765,131781717,133850793,135926006,138040837,140166765,142341570,144451030,146585944,149192240,151388577,153582360,155729834,158110693,160620699,163096958,165543601,167702835,169845860,171949780
Arab World,ARB,International migrant stock (% of population),SM.POP.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.25159910138828,..,..,..,..,5.79825644584546,..,..,..,..,5.69805098532726,..,..,..,..,6.0890569167523,..,..,..,..,7.97712755617779,..,..,..,..,8.91430832434835,..,..
Arab World,ARB,Access to electricity (% of population),EG.ELC.ACCS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,74.3842390444175,74.3822200880162,74.3131602867208,75.3493248355472,75.7885216921504,76.214137971973,77.2051498724772,77.5737299371645,78.3955110511858,78.9655316665757,78.7623297831137,80.1492565068256,80.3599784304366,81.3547876429119,82.6624023433797,83.6875762079726,85.8002961272357,84.7357232408233,85.4328268149662,85.1898151220048,86.1361336464124,86.782683284186,87.2882439402148,88.3897051476481,88.0767741380158,88.5179673938546,88.7686540243445,..
Arab World,ARB,Individuals using the Internet (% of population),IT.NET.USER.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,..,..,0.0176735802675825,0.0391510685464423,0.135566650999494,0.270071044516395,0.616816391160365,1.17398674391198,1.60744788507586,2.76778588291462,3.74803690285236,7.2346368903192,8.63494676667728,11.6637886734983,14.3152138911244,18.4959056790859,21.4263493058454,24.7759406944671,26.582763949358,30.1782328191634,32.9280383552986,36.4579583655274,39.9293582929559,42.6899446475061,..
Arab World,ARB,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Arab World,ARB,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Arab World,ARB,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Arab World,ARB,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Arab World,ARB,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
